id,weight,height,gender,sport
140,160.0,74.0,Male,Baseball
141,270.0,77.0,Male,Baseball
142,215.0,75.0,Male,Baseball
143,200.0,73.0,Male,Baseball
144,205.0,74.0,Male,Baseball
145,230.0,72.0,Male,Baseball
146,180.0,66.0,Male,Baseball
147,215.0,71.0,Male,Baseball
148,190.0,74.0,Male,Baseball
149,225.0,73.0,Male,Baseball
150,175.0,73.0,Male,Baseball
151,165.0,70.0,Male,Baseball
152,175.0,69.0,Male,Baseball
153,195.0,72.0,Male,Baseball
154,190.0,72.0,Male,Baseball
155,195.0,77.0,Male,Baseball
156,170.0,70.0,Male,Baseball
157,180.0,74.0,Male,Baseball
158,165.0,69.0,Male,Baseball
159,160.0,69.0,Male,Baseball
160,190.0,70.0,Male,Baseball
161,180.0,71.0,Male,Baseball
162,195.0,76.0,Male,Baseball
163,210.0,72.0,Male,Baseball
164,210.0,75.0,Male,Baseball
165,175.0,69.0,Male,Baseball
166,215.0,73.0,Male,Baseball
167,205.0,74.0,Male,Baseball
168,210.0,75.0,Male,Baseball
169,190.0,75.0,Male,Baseball
170,195.0,74.0,Male,Baseball
171,190.0,71.0,Male,Baseball
172,190.0,72.0,Male,Baseball
173,168.0,71.0,Male,Baseball
174,150.0,70.0,Male,Baseball
175,163.0,64.0,Male,Baseball
176,185.0,73.0,Male,Baseball
177,190.0,74.0,Male,Baseball
178,165.0,70.0,Male,Baseball
179,185.0,70.0,Male,Baseball
180,250.0,77.0,Male,Baseball
181,210.0,71.0,Male,Baseball
182,220.0,71.0,Male,Baseball
183,165.0,69.0,Male,Baseball
184,220.0,77.0,Male,Baseball
185,175.0,73.0,Male,Baseball
186,175.0,72.0,Male,Baseball
187,175.0,71.0,Male,Baseball
188,180.0,70.0,Male,Baseball
189,165.0,73.0,Male,Baseball
190,175.0,74.0,Male,Baseball
191,230.0,74.0,Male,Baseball
192,195.0,73.0,Male,Baseball
193,210.0,73.0,Male,Baseball
194,187.0,71.0,Male,Baseball
195,215.0,76.0,Male,Baseball
196,180.0,73.0,Male,Baseball
197,175.0,69.0,Male,Baseball
198,185.0,71.0,Male,Baseball
200,190.0,72.0,Male,Baseball
201,160.0,71.0,Male,Baseball
202,187.0,72.0,Male,Baseball
204,205.0,72.0,Male,Baseball
205,178.0,72.0,Male,Baseball
206,170.0,73.0,Male,Baseball
207,180.0,72.0,Male,Baseball
208,175.0,71.0,Male,Baseball
209,185.0,73.0,Male,Baseball
210,208.0,74.0,Male,Baseball
211,150.0,68.0,Male,Baseball
212,185.0,75.0,Male,Baseball
213,180.0,72.0,Male,Baseball
214,185.0,68.0,Male,Baseball
215,205.0,75.0,Male,Baseball
216,185.0,73.0,Male,Baseball
217,180.0,73.0,Male,Baseball
218,160.0,70.0,Male,Baseball
219,190.0,72.0,Male,Baseball
220,190.0,73.0,Male,Baseball
221,150.0,70.0,Male,Baseball
222,150.0,68.0,Male,Baseball
224,205.0,75.0,Male,Baseball
225,215.0,75.0,Male,Baseball
226,160.0,70.0,Male,Baseball
227,185.0,73.0,Male,Baseball
228,163.0,72.0,Male,Baseball
229,190.0,72.0,Male,Baseball
230,170.0,72.0,Male,Baseball
231,205.0,75.0,Male,Baseball
232,166.0,74.0,Male,Baseball
233,164.0,69.0,Male,Baseball
234,210.0,69.0,Male,Baseball
235,180.0,75.0,Male,Baseball
236,200.0,75.0,Male,Baseball
237,245.0,74.0,Male,Baseball
238,190.0,74.0,Male,Baseball
239,180.0,74.0,Male,Baseball
240,205.0,72.0,Male,Baseball
241,195.0,74.0,Male,Baseball
242,184.0,72.0,Male,Baseball
243,140.0,69.0,Male,Baseball
244,200.0,77.0,Male,Baseball
245,230.0,73.0,Male,Baseball
246,195.0,72.0,Male,Baseball
247,190.0,74.0,Male,Baseball
248,160.0,69.0,Male,Baseball
249,185.0,75.0,Male,Baseball
250,180.0,70.0,Male,Baseball
251,180.0,72.0,Male,Baseball
252,185.0,74.0,Male,Baseball
253,210.0,77.0,Male,Baseball
254,195.0,74.0,Male,Baseball
255,175.0,72.0,Male,Baseball
256,175.0,72.0,Male,Baseball
257,158.0,69.0,Male,Baseball
258,215.0,77.0,Male,Baseball
259,160.0,70.0,Male,Baseball
260,200.0,76.0,Male,Baseball
261,185.0,72.0,Male,Baseball
262,197.0,70.0,Male,Baseball
263,165.0,66.0,Male,Baseball
264,175.0,75.0,Male,Baseball
265,190.0,74.0,Male,Baseball
266,180.0,71.0,Male,Baseball
267,170.0,73.0,Male,Baseball
268,180.0,74.0,Male,Baseball
269,185.0,73.0,Male,Baseball
270,205.0,72.0,Male,Baseball
271,170.0,70.0,Male,Baseball
272,180.0,71.0,Male,Baseball
273,180.0,73.0,Male,Baseball
274,162.0,69.0,Male,Baseball
275,165.0,72.0,Male,Baseball
276,165.0,70.0,Male,Baseball
277,250.0,75.0,Male,Baseball
278,225.0,74.0,Male,Baseball
279,183.0,71.0,Male,Baseball
280,245.0,75.0,Male,Baseball
281,200.0,73.0,Male,Baseball
282,150.0,70.0,Male,Baseball
283,175.0,73.0,Male,Baseball
284,185.0,71.0,Male,Baseball
285,187.0,70.0,Male,Baseball
286,215.0,75.0,Male,Baseball
287,175.0,71.0,Male,Baseball
288,175.0,72.0,Male,Baseball
289,160.0,66.0,Male,Baseball
290,170.0,71.0,Male,Baseball
291,170.0,70.0,Male,Baseball
292,165.0,68.0,Male,Baseball
293,190.0,73.0,Male,Baseball
294,235.0,74.0,Male,Baseball
295,180.0,71.0,Male,Baseball
296,185.0,70.0,Male,Baseball
297,205.0,73.0,Male,Baseball
298,165.0,71.0,Male,Baseball
299,165.0,69.0,Male,Baseball
300,170.0,67.0,Male,Baseball
301,182.0,75.0,Male,Baseball
302,190.0,73.0,Male,Baseball
303,165.0,71.0,Male,Baseball
304,178.0,71.0,Male,Baseball
305,172.0,71.0,Male,Baseball
306,165.0,73.0,Male,Baseball
307,210.0,76.0,Male,Baseball
308,170.0,73.0,Male,Baseball
309,190.0,73.0,Male,Baseball
310,220.0,74.0,Male,Baseball
311,240.0,75.0,Male,Baseball
312,200.0,73.0,Male,Baseball
313,210.0,75.0,Male,Baseball
314,194.0,73.0,Male,Baseball
315,240.0,76.0,Male,Baseball
316,205.0,74.0,Male,Baseball
318,185.0,74.0,Male,Baseball
319,195.0,74.0,Male,Baseball
320,165.0,71.0,Male,Baseball
321,200.0,73.0,Male,Baseball
322,180.0,74.0,Male,Baseball
323,190.0,75.0,Male,Baseball
324,160.0,68.0,Male,Baseball
326,160.0,71.0,Male,Baseball
327,205.0,75.0,Male,Baseball
328,188.0,72.0,Male,Baseball
329,170.0,72.0,Male,Baseball
330,195.0,73.0,Male,Baseball
331,180.0,74.0,Male,Baseball
332,190.0,73.0,Male,Baseball
333,195.0,74.0,Male,Baseball
334,180.0,73.0,Male,Baseball
335,190.0,75.0,Male,Baseball
336,200.0,75.0,Male,Baseball
337,215.0,76.0,Male,Baseball
338,200.0,76.0,Male,Baseball
339,190.0,70.0,Male,Baseball
340,200.0,74.0,Male,Baseball
341,200.0,75.0,Male,Baseball
342,210.0,75.0,Male,Baseball
343,210.0,74.0,Male,Baseball
344,175.0,72.0,Male,Baseball
345,190.0,78.0,Male,Baseball
346,170.0,69.0,Male,Baseball
347,165.0,70.0,Male,Baseball
348,160.0,74.0,Male,Baseball
349,150.0,70.0,Male,Baseball
350,195.0,72.0,Male,Baseball
351,220.0,73.0,Male,Baseball
352,175.0,72.0,Male,Baseball
353,160.0,68.0,Male,Baseball
354,175.0,72.0,Male,Baseball
355,200.0,73.0,Male,Baseball
356,163.0,68.0,Male,Baseball
357,170.0,72.0,Male,Baseball
358,200.0,73.0,Male,Baseball
360,200.0,76.0,Male,Baseball
361,175.0,70.0,Male,Baseball
362,160.0,70.0,Male,Baseball
363,195.0,75.0,Male,Baseball
364,195.0,72.0,Male,Baseball
365,185.0,72.0,Male,Baseball
366,215.0,73.0,Male,Baseball
367,178.0,71.0,Male,Baseball
368,170.0,75.0,Male,Baseball
369,215.0,75.0,Male,Baseball
370,185.0,72.0,Male,Baseball
371,200.0,72.0,Male,Baseball
372,185.0,74.0,Male,Baseball
373,155.0,66.0,Male,Baseball
374,170.0,72.0,Male,Baseball
375,175.0,74.0,Male,Baseball
376,175.0,71.0,Male,Baseball
377,185.0,69.0,Male,Baseball
378,190.0,68.0,Male,Baseball
379,125.0,64.0,Male,Baseball
380,210.0,73.0,Male,Baseball
381,180.0,71.0,Male,Baseball
382,150.0,67.0,Male,Baseball
383,227.0,72.0,Male,Baseball
384,195.0,74.0,Male,Baseball
385,185.0,72.0,Male,Baseball
386,185.0,71.0,Male,Baseball
387,165.0,70.0,Male,Baseball
388,185.0,73.0,Male,Baseball
389,195.0,73.0,Male,Baseball
390,180.0,69.0,Male,Baseball
391,160.0,69.0,Male,Baseball
392,170.0,71.0,Male,Baseball
393,185.0,72.0,Male,Baseball
394,180.0,74.0,Male,Baseball
395,173.0,72.0,Male,Baseball
396,180.0,74.0,Male,Baseball
397,180.0,71.0,Male,Baseball
398,183.0,70.0,Male,Baseball
399,190.0,73.0,Male,Baseball
400,155.0,72.0,Male,Baseball
401,150.0,65.0,Male,Baseball
402,176.0,70.0,Male,Baseball
403,270.0,79.0,Male,Baseball
404,153.0,68.0,Male,Baseball
405,190.0,75.0,Male,Baseball
406,193.0,72.0,Male,Baseball
407,168.0,70.0,Male,Baseball
408,190.0,72.0,Male,Baseball
409,170.0,72.0,Male,Baseball
410,170.0,75.0,Male,Baseball
411,225.0,72.0,Male,Baseball
412,190.0,74.0,Male,Baseball
413,180.0,71.0,Male,Baseball
415,205.0,72.0,Male,Baseball
416,180.0,72.0,Male,Baseball
417,205.0,74.0,Male,Baseball
418,205.0,72.0,Male,Baseball
419,190.0,70.0,Male,Baseball
420,185.0,75.0,Male,Baseball
421,155.0,71.0,Male,Baseball
422,190.0,71.0,Male,Baseball
423,165.0,73.0,Male,Baseball
424,165.0,70.0,Male,Baseball
425,225.0,75.0,Male,Baseball
426,185.0,74.0,Male,Baseball
427,195.0,75.0,Male,Baseball
428,190.0,77.0,Male,Baseball
429,182.0,71.0,Male,Baseball
430,205.0,76.0,Male,Baseball
431,180.0,69.0,Male,Baseball
432,160.0,71.0,Male,Baseball
433,190.0,70.0,Male,Baseball
434,195.0,70.0,Male,Baseball
436,160.0,74.0,Male,Baseball
437,190.0,70.0,Male,Baseball
438,165.0,69.0,Male,Baseball
439,220.0,77.0,Male,Baseball
440,193.0,75.0,Male,Baseball
441,225.0,74.0,Male,Baseball
443,195.0,73.0,Male,Baseball
445,160.0,70.0,Male,Baseball
446,190.0,74.0,Male,Baseball
447,210.0,74.0,Male,Baseball
448,170.0,71.0,Male,Baseball
449,168.0,70.0,Male,Baseball
450,205.0,76.0,Male,Baseball
451,200.0,73.0,Male,Baseball
452,180.0,72.0,Male,Baseball
453,235.0,72.0,Male,Baseball
454,190.0,72.0,Male,Baseball
455,225.0,76.0,Male,Baseball
456,185.0,73.0,Male,Baseball
457,215.0,76.0,Male,Baseball
458,185.0,75.0,Male,Baseball
459,180.0,74.0,Male,Baseball
460,178.0,68.0,Male,Baseball
461,195.0,74.0,Male,Baseball
462,230.0,73.0,Male,Baseball
463,145.0,66.0,Male,Baseball
464,175.0,70.0,Male,Baseball
465,185.0,73.0,Male,Baseball
466,195.0,72.0,Male,Baseball
467,196.0,73.0,Male,Baseball
468,195.0,71.0,Male,Baseball
469,200.0,73.0,Male,Baseball
470,190.0,74.0,Male,Baseball
471,170.0,70.0,Male,Baseball
472,185.0,74.0,Male,Baseball
473,180.0,73.0,Male,Baseball
474,230.0,76.0,Male,Baseball
475,195.0,73.0,Male,Baseball
476,165.0,71.0,Male,Baseball
477,220.0,79.0,Male,Baseball
478,215.0,73.0,Male,Baseball
480,170.0,74.0,Male,Baseball
481,180.0,72.0,Male,Baseball
482,175.0,73.0,Male,Baseball
483,195.0,75.0,Male,Baseball
484,200.0,75.0,Male,Baseball
485,174.0,74.0,Male,Baseball
486,187.0,69.0,Male,Baseball
487,200.0,74.0,Male,Baseball
488,215.0,75.0,Male,Baseball
489,160.0,70.0,Male,Baseball
490,200.0,76.0,Male,Baseball
491,220.0,74.0,Male,Baseball
492,165.0,71.0,Male,Baseball
493,165.0,67.0,Male,Baseball
495,190.0,74.0,Male,Baseball
496,205.0,75.0,Male,Baseball
497,149.0,66.0,Male,Baseball
498,225.0,76.0,Male,Baseball
499,165.0,70.0,Male,Baseball
500,160.0,72.0,Male,Baseball
501,185.0,69.0,Male,Baseball
502,190.0,71.0,Male,Baseball
503,160.0,69.0,Male,Baseball
504,130.0,67.0,Male,Baseball
505,190.0,72.0,Male,Baseball
506,235.0,79.0,Male,Baseball
507,180.0,77.0,Male,Baseball
508,165.0,72.0,Male,Baseball
509,230.0,78.0,Male,Baseball
510,174.0,74.0,Male,Baseball
511,190.0,75.0,Male,Baseball
512,183.0,72.0,Male,Baseball
513,194.0,74.0,Male,Baseball
514,185.0,74.0,Male,Baseball
515,200.0,75.0,Male,Baseball
516,240.0,79.0,Male,Baseball
517,170.0,72.0,Male,Baseball
518,205.0,73.0,Male,Baseball
519,190.0,71.0,Male,Baseball
520,180.0,71.0,Male,Baseball
522,185.0,72.0,Male,Baseball
523,155.0,67.0,Male,Baseball
524,200.0,74.0,Male,Baseball
525,190.0,76.0,Male,Baseball
526,225.0,77.0,Male,Baseball
527,168.0,71.0,Male,Baseball
528,180.0,72.0,Male,Baseball
529,180.0,69.0,Male,Baseball
530,172.0,69.0,Male,Baseball
531,185.0,70.0,Male,Baseball
532,180.0,76.0,Male,Baseball
533,190.0,72.0,Male,Baseball
534,210.0,71.0,Male,Baseball
535,175.0,70.0,Male,Baseball
536,220.0,74.0,Male,Baseball
537,205.0,70.0,Male,Baseball
538,155.0,69.0,Male,Baseball
539,175.0,73.0,Male,Baseball
540,185.0,72.0,Male,Baseball
541,220.0,77.0,Male,Baseball
542,185.0,73.0,Male,Baseball
543,190.0,74.0,Male,Baseball
544,205.0,74.0,Male,Baseball
545,180.0,70.0,Male,Baseball
546,165.0,73.0,Male,Baseball
547,205.0,71.0,Male,Baseball
548,180.0,72.0,Male,Baseball
549,185.0,75.0,Male,Baseball
550,185.0,73.0,Male,Baseball
551,190.0,72.0,Male,Baseball
552,230.0,76.0,Male,Baseball
553,190.0,75.0,Male,Baseball
554,190.0,72.0,Male,Baseball
555,170.0,73.0,Male,Baseball
556,165.0,70.0,Male,Baseball
557,210.0,77.0,Male,Baseball
558,180.0,70.0,Male,Baseball
559,185.0,73.0,Male,Baseball
560,170.0,72.0,Male,Baseball
561,174.0,68.0,Male,Baseball
562,182.0,72.0,Male,Baseball
563,195.0,72.0,Male,Baseball
564,160.0,69.0,Male,Baseball
566,180.0,74.0,Male,Baseball
567,225.0,74.0,Male,Baseball
568,185.0,74.0,Male,Baseball
569,210.0,77.0,Male,Baseball
570,170.0,70.0,Male,Baseball
571,175.0,72.0,Male,Baseball
572,190.0,72.0,Male,Baseball
573,195.0,75.0,Male,Baseball
574,190.0,76.0,Male,Baseball
575,165.0,71.0,Male,Baseball
576,160.0,72.0,Male,Baseball
577,225.0,75.0,Male,Baseball
578,190.0,72.0,Male,Baseball
579,160.0,68.0,Male,Baseball
580,160.0,72.0,Male,Baseball
581,230.0,72.0,Male,Baseball
582,170.0,72.0,Male,Baseball
583,170.0,74.0,Male,Baseball
584,175.0,73.0,Male,Baseball
585,195.0,72.0,Male,Baseball
586,185.0,74.0,Male,Baseball
587,172.0,73.0,Male,Baseball
588,184.0,73.0,Male,Baseball
589,165.0,68.0,Male,Baseball
590,235.0,75.0,Male,Baseball
591,165.0,71.0,Male,Baseball
592,170.0,70.0,Male,Baseball
593,180.0,73.0,Male,Baseball
594,195.0,72.0,Male,Baseball
595,205.0,74.0,Male,Baseball
596,150.0,71.0,Male,Baseball
597,160.0,68.0,Male,Baseball
598,160.0,72.0,Male,Baseball
599,195.0,72.0,Male,Baseball
600,225.0,76.0,Male,Baseball
601,200.0,74.0,Male,Baseball
602,210.0,74.0,Male,Baseball
603,185.0,72.0,Male,Baseball
604,195.0,77.0,Male,Baseball
605,180.0,73.0,Male,Baseball
606,170.0,74.0,Male,Baseball
607,194.0,73.0,Male,Baseball
608,184.0,72.0,Male,Baseball
609,170.0,71.0,Male,Baseball
610,175.0,74.0,Male,Baseball
611,190.0,72.0,Male,Baseball
612,160.0,69.0,Male,Baseball
613,195.0,76.0,Male,Baseball
614,148.0,69.0,Male,Baseball
615,170.0,72.0,Male,Baseball
616,225.0,75.0,Male,Baseball
617,190.0,73.0,Male,Baseball
618,170.0,68.0,Male,Baseball
619,168.0,70.0,Male,Baseball
620,170.0,71.0,Male,Baseball
621,200.0,72.0,Male,Baseball
622,181.0,69.0,Male,Baseball
623,140.0,64.0,Male,Baseball
624,180.0,71.0,Male,Baseball
625,185.0,72.0,Male,Baseball
626,176.0,71.0,Male,Baseball
627,165.0,69.0,Male,Baseball
628,183.0,74.0,Male,Baseball
629,160.0,70.0,Male,Baseball
630,160.0,69.0,Male,Baseball
631,173.0,71.0,Male,Baseball
632,180.0,70.0,Male,Baseball
633,178.0,74.0,Male,Baseball
634,162.0,71.0,Male,Baseball
635,170.0,73.0,Male,Baseball
636,175.0,71.0,Male,Baseball
637,225.0,77.0,Male,Baseball
638,188.0,71.0,Male,Baseball
639,140.0,64.0,Male,Baseball
640,220.0,74.0,Male,Baseball
641,215.0,73.0,Male,Baseball
642,160.0,69.0,Male,Baseball
643,175.0,73.0,Male,Baseball
645,152.0,68.0,Male,Baseball
646,175.0,74.0,Male,Baseball
647,215.0,76.0,Male,Baseball
648,185.0,72.0,Male,Baseball
649,180.0,73.0,Male,Baseball
650,195.0,72.0,Male,Baseball
651,180.0,73.0,Male,Baseball
652,205.0,74.0,Male,Baseball
653,195.0,72.0,Male,Baseball
654,180.0,75.0,Male,Baseball
655,225.0,75.0,Male,Baseball
656,160.0,67.0,Male,Baseball
657,190.0,76.0,Male,Baseball
658,175.0,73.0,Male,Baseball
659,175.0,72.0,Male,Baseball
660,200.0,74.0,Male,Baseball
661,195.0,71.0,Male,Baseball
662,160.0,71.0,Male,Baseball
663,180.0,71.0,Male,Baseball
664,210.0,75.0,Male,Baseball
665,180.0,73.0,Male,Baseball
666,147.0,66.0,Male,Baseball
667,160.0,71.0,Male,Baseball
668,190.0,72.0,Male,Baseball
670,195.0,73.0,Male,Baseball
671,180.0,75.0,Male,Baseball
672,210.0,76.0,Male,Baseball
673,175.0,71.0,Male,Baseball
674,220.0,74.0,Male,Baseball
675,190.0,76.0,Male,Baseball
676,165.0,70.0,Male,Baseball
677,200.0,74.0,Male,Baseball
678,195.0,75.0,Male,Baseball
680,215.0,78.0,Male,Baseball
681,160.0,71.0,Male,Baseball
682,205.0,78.0,Male,Baseball
683,185.0,70.0,Male,Baseball
684,175.0,71.0,Male,Baseball
685,145.0,67.0,Male,Baseball
686,170.0,70.0,Male,Baseball
687,185.0,74.0,Male,Baseball
688,175.0,72.0,Male,Baseball
689,173.0,72.0,Male,Baseball
691,160.0,69.0,Male,Baseball
693,195.0,72.0,Male,Baseball
694,195.0,72.0,Male,Baseball
695,235.0,76.0,Male,Baseball
696,160.0,69.0,Male,Baseball
697,185.0,72.0,Male,Baseball
698,200.0,74.0,Male,Baseball
699,184.0,73.0,Male,Baseball
700,175.0,70.0,Male,Baseball
701,150.0,71.0,Male,Baseball
702,200.0,75.0,Male,Baseball
703,180.0,73.0,Male,Baseball
704,180.0,71.0,Male,Baseball
705,185.0,71.0,Male,Baseball
706,215.0,75.0,Male,Baseball
707,215.0,76.0,Male,Baseball
708,190.0,73.0,Male,Baseball
709,170.0,71.0,Male,Baseball
710,202.0,74.0,Male,Baseball
711,190.0,73.0,Male,Baseball
712,150.0,66.0,Male,Baseball
713,160.0,65.0,Male,Baseball
714,175.0,68.0,Male,Baseball
715,175.0,74.0,Male,Baseball
716,205.0,73.0,Male,Baseball
717,205.0,70.0,Male,Baseball
718,195.0,72.0,Male,Baseball
719,250.0,74.0,Male,Baseball
720,190.0,75.0,Male,Baseball
721,162.0,72.0,Male,Baseball
722,185.0,71.0,Male,Baseball
723,175.0,73.0,Male,Baseball
724,148.0,70.0,Male,Baseball
725,178.0,71.0,Male,Baseball
726,175.0,70.0,Male,Baseball
727,140.0,65.0,Male,Baseball
728,195.0,72.0,Male,Baseball
729,190.0,73.0,Male,Baseball
730,170.0,71.0,Male,Baseball
731,155.0,67.0,Male,Baseball
732,230.0,76.0,Male,Baseball
733,210.0,75.0,Male,Baseball
734,162.0,70.0,Male,Baseball
735,215.0,76.0,Male,Baseball
736,190.0,71.0,Male,Baseball
737,225.0,75.0,Male,Baseball
738,185.0,74.0,Male,Baseball
739,200.0,73.0,Male,Baseball
740,195.0,73.0,Male,Baseball
741,190.0,72.0,Male,Baseball
742,170.0,72.0,Male,Baseball
743,185.0,74.0,Male,Baseball
744,160.0,72.0,Male,Baseball
745,170.0,69.0,Male,Baseball
747,205.0,73.0,Male,Baseball
748,180.0,70.0,Male,Baseball
749,195.0,74.0,Male,Baseball
750,225.0,77.0,Male,Baseball
751,192.0,72.0,Male,Baseball
752,210.0,74.0,Male,Baseball
753,220.0,75.0,Male,Baseball
754,180.0,74.0,Male,Baseball
755,185.0,75.0,Male,Baseball
756,160.0,71.0,Male,Baseball
757,180.0,71.0,Male,Baseball
758,185.0,71.0,Male,Baseball
759,210.0,78.0,Male,Baseball
761,165.0,68.0,Male,Baseball
762,200.0,73.0,Male,Baseball
763,210.0,74.0,Male,Baseball
764,164.0,71.0,Male,Baseball
765,185.0,70.0,Male,Baseball
766,175.0,70.0,Male,Baseball
767,150.0,71.0,Male,Baseball
768,170.0,69.0,Male,Baseball
769,210.0,74.0,Male,Baseball
770,180.0,70.0,Male,Baseball
771,178.0,70.0,Male,Baseball
772,175.0,69.0,Male,Baseball
773,195.0,74.0,Male,Baseball
774,170.0,72.0,Male,Baseball
775,175.0,70.0,Male,Baseball
776,170.0,72.0,Male,Baseball
777,205.0,74.0,Male,Baseball
778,170.0,71.0,Male,Baseball
779,195.0,73.0,Male,Baseball
780,160.0,70.0,Male,Baseball
781,210.0,76.0,Male,Baseball
782,158.0,70.0,Male,Baseball
783,185.0,75.0,Male,Baseball
784,186.0,76.0,Male,Baseball
785,145.0,68.0,Male,Baseball
786,150.0,68.0,Male,Baseball
787,200.0,76.0,Male,Baseball
788,175.0,71.0,Male,Baseball
789,165.0,72.0,Male,Baseball
790,155.0,70.0,Male,Baseball
791,160.0,70.0,Male,Baseball
792,180.0,72.0,Male,Baseball
793,190.0,71.0,Male,Baseball
794,188.0,72.0,Male,Baseball
795,157.0,67.0,Male,Baseball
796,175.0,74.0,Male,Baseball
797,195.0,74.0,Male,Baseball
798,180.0,70.0,Male,Baseball
799,160.0,69.0,Male,Baseball
800,185.0,74.0,Male,Baseball
